Location,Fish Type,Date,Time,Water Temp (F),Outside Temp (F),Depth,Lure Used,Length (in),Weight (lb),Moon Phase,Notes
Brazos River,Crappie,2024-09-07,9:00 PM,80.0,81.0,Shallow,Minnow,15.4,1.83,Waning,Caught during Waning moon using minnow
Lake Travis,Catfish,2024-09-12,6:30 AM,85.0,87.0,Mid,Chicken liver,30.9,3.37,Waxing,Caught during Waxing moon using chicken liver
Guadalupe River,Bass,2024-06-14,5:00 PM,60.0,64.0,Deep,Crankbait,32.5,3.63,New,Caught during New moon using crankbait
Lake Houston,Crappie,2024-11-15,9:00 PM,85.0,84.0,Deep,Jig,35.8,4.08,Waxing,Caught during Waxing moon using jig
Brazos River,Catfish,2024-06-02,5:00 PM,63.0,65.0,Shallow,Punch bait,29.8,3.79,Full,Caught during Full moon using punch bait
Lady Bird Lake,Catfish,2024-06-22,8:00 AM,74.0,78.0,Deep,Chicken liver,25.4,3.54,Waxing,Caught during Waxing moon using chicken liver
Brazos River,Crappie,2024-10-16,9:00 PM,69.0,71.0,Mid,Tube jig,19.5,2.66,New,Caught during New moon using tube jig
San Marcos River,Bass,2024-03-02,8:00 AM,73.0,77.0,Deep,Spinnerbait,18.9,2.5,New,Caught during New moon using spinnerbait
"Paris, TX",Crappie,2024-09-30,12:00 PM,62.0,67.0,Mid,Tube jig,11.2,1.0,Waning,Caught during Waning moon using tube jig
"Paris, TX",Gar,2024-10-13,6:30 AM,61.0,60.0,Deep,Crayfish,20.6,2.55,New,Caught during New moon using crayfish
Lake Houston,Crappie,2024-10-22,8:00 AM,78.0,76.0,Shallow,Tube jig,15.8,1.72,Waning,Caught during Waning moon using tube jig
San Marcos River,Bass,2024-07-26,8:00 AM,65.0,69.0,Shallow,Crankbait,9.5,0.87,New,Caught during New moon using crankbait
"Paris, TX",Gar,2024-09-20,6:30 AM,85.0,84.0,Shallow,Live bait,34.3,3.88,Full,Caught during Full moon using live bait
Lake Travis,Panfish,2024-10-09,6:30 AM,65.0,63.0,Deep,Worm,8.3,0.61,Waxing,Caught during Waxing moon using worm
Brazos River,Catfish,2024-12-03,9:00 PM,66.0,69.0,Mid,Chicken liver,11.6,1.86,New,Caught during New moon using chicken liver
